分组维度,分组值,样本数,后5日平均涨跌幅,后10日平均涨跌幅,后20日平均涨跌幅,后10日上涨比例,后20日最大回撤均值
阶段,出货,800,2.7424528950567253,6.174182513480806,12.142505189984444,59.625,-15.562297339666323
阶段,建仓,1546,2.004627800164574,3.844644635634797,6.541678315274881,63.065976714100906,-9.772672470986437
阶段,拉升,5978,1.973010308356705,3.9684654110208903,7.882646226233885,55.75443292070927,-14.940165501835692
阶段,洗盘,4637,1.4797350221887648,3.1630797550535923,6.420279316628514,53.8710373086047,-14.131401629271398
信号强度,中信号,6887,1.8395651592273214,3.918327968767352,7.619062280272408,55.91694496878176,-14.163292986424539
信号强度,弱信号,2752,2.4020090191454586,4.172979967086203,8.059197965591482,58.75726744186046,-15.37294323541592
信号强度,强信号,3322,1.4057464611856205,3.252344394467324,6.643389052826996,54.63576158940398,-12.808269011262169
位置,中位,8485,1.522014256669522,3.1577158946238884,6.743664042804077,54.17796110783736,-13.951749797262561
位置,低位,1251,2.0969166651991396,4.052414714210803,6.814670299185327,63.78896882494005,-9.486203809475573
位置,凹底,295,1.613260443695961,2.9635586414023103,5.384007224183463,60.0,-10.98749381183421
位置,过峰,1073,2.8598810927347578,6.056348200575091,9.885856570245847,58.24790307548928,-17.181785833106048
位置,高位,1857,2.621004769491533,5.405682324690505,10.112969833362289,58.48142164781906,-16.409694866958898
