code,name,base_date,confirm_date,entry_date,entry_price,ret,win,pos_pct,dist_to_high,pos_zone,high_dist
sh600107,*ST尔雅,129,132,142,5.14,-16.47,0,54.3,21.6,中位(35-65%),>20%
sh600463,空港股份,349,352,365,11.22,-5.38,0,29.1,13.46,低位(20-35%),10-20%
sh605178,时空科技,228,231,239,23.13,7.68,1,69.7,19.5,高位(65-85%),10-20%
sh600365,ST通葡,123,126,137,2.7,-3.69,0,33.3,18.52,低位(20-35%),10-20%
sh600155,华创云信,234,237,249,7.48,-0.03,0,67.6,8.16,高位(65-85%),5-10%
sh600405,动力源,289,292,305,5.49,-2.56,0,28.0,39.34,低位(20-35%),>20%
sh600543,*ST莫高,151,154,161,4.78,8.31,1,25.8,39.75,低位(20-35%),>20%
sh600708,光明地产,402,405,417,3.39,-5.23,0,20.1,38.64,低位(20-35%),>20%
sh603968,醋化股份,403,406,413,11.97,-3.52,0,20.1,48.29,低位(20-35%),>20%
sz300614,百川畅银,139,142,157,11.11,1.15,1,60.5,17.01,中位(35-65%),10-20%
sz002702,海欣食品,66,69,81,4.58,-11.14,0,40.6,55.68,中位(35-65%),>20%
sz000785,居然智家,463,466,481,2.23,1.14,1,30.3,30.94,低位(20-35%),>20%
sz000526,学大教育,397,400,418,32.26,-11.55,0,17.4,33.26,凹底(<20%),>20%
sz000665,湖北广电,284,287,300,6.03,-3.75,0,50.4,19.57,中位(35-65%),10-20%
sz002355,兴民智通,365,368,377,6.99,-8.4,0,59.3,14.31,中位(35-65%),10-20%
sz000002,万 科Ａ,254,257,265,6.81,-5.21,0,52.2,8.08,中位(35-65%),5-10%
sz002848,高斯贝尔,355,358,365,11.86,5.39,1,74.9,12.82,高位(65-85%),10-20%
sz002796,世嘉科技,122,125,142,11.98,-15.04,0,35.3,35.06,中位(35-65%),>20%
sz300647,超频三,277,280,284,6.76,2.01,1,48.8,19.08,中位(35-65%),10-20%
sz000877,天山股份,463,466,482,3.71,0.79,1,8.7,48.25,凹底(<20%),>20%
sz002928,华夏航空,66,69,81,8.03,-11.31,0,68.6,16.56,高位(65-85%),10-20%
sz002234,民和股份,443,446,462,6.83,3.15,1,15.5,42.17,凹底(<20%),>20%
sz002723,小崧股份,435,438,454,8.15,-16.44,0,6.7,42.58,凹底(<20%),>20%
sz000525,红太阳,129,132,147,5.98,4.59,1,14.1,57.22,凹底(<20%),>20%
sz001331,胜通能源,467,470,484,44.09,-4.21,0,39.0,54.23,中位(35-65%),>20%
sz002366,融发核电,400,403,417,7.15,-5.58,0,8.4,33.71,凹底(<20%),>20%
sz000663,永安林业,350,353,365,7.95,-11.04,0,39.0,35.6,中位(35-65%),>20%
sz300211,*ST亿通,337,340,359,9.14,-5.26,0,33.1,26.04,低位(20-35%),>20%
sz300510,金冠股份,363,366,376,4.67,-10.09,0,53.2,12.63,中位(35-65%),10-20%
sz000909,*ST数源,337,340,349,5.34,6.58,1,20.7,22.28,低位(20-35%),>20%
sz002157,正邦科技,365,368,378,3.09,-2.72,0,21.5,27.18,低位(20-35%),>20%
sz002164,宁波东力,127,130,147,6.93,1.64,1,31.6,78.07,低位(20-35%),>20%
sz002134,天津普林,285,288,303,22.52,-3.76,0,54.2,17.01,中位(35-65%),10-20%
sz000558,天府文旅,69,72,81,3.28,-1.4,0,36.8,59.76,中位(35-65%),>20%
sz002425,凯撒文化,112,115,124,2.25,0.23,1,30.3,30.67,低位(20-35%),>20%
