code,name,entry_price,ret,win,pos_pct,dist_to_high,pos_zone,high_dist
sh603536,惠发食品,12.48,18.05,1,59.3,19.23,中位(35-65%),10-20%
sh600173,卧龙新能,8.45,-10.33,0,50.1,28.88,中位(35-65%),>20%
sh688211,中科微至,31.14,-0.91,0,55.5,16.54,中位(35-65%),10-20%
sh600107,*ST尔雅,5.25,-16.72,0,58.8,19.05,中位(35-65%),10-20%
sh603598,引力传媒,16.98,1.96,1,37.9,14.78,中位(35-65%),10-20%
sh600753,ST海钦,7.02,-2.24,0,71.3,14.81,高位(65-85%),10-20%
sh600491,ST龙元,3.83,0.47,1,48.3,16.19,中位(35-65%),10-20%
sh603226,菲林格尔,52.31,-9.4,0,75.3,15.66,高位(65-85%),10-20%
sh600115,中国东航,4.05,5.32,1,58.9,10.86,中位(35-65%),10-20%
sh600463,空港股份,11.18,-5.66,0,27.2,13.86,低位(20-35%),10-20%
sh605178,时空科技,23.57,4.25,1,72.6,17.27,高位(65-85%),10-20%
sh600343,航天动力,33.26,13.72,1,50.9,52.98,中位(35-65%),>20%
sh600808,马钢股份,4.01,-1.6,0,50.9,13.22,中位(35-65%),10-20%
sh603392,万泰生物,67.34,-1.65,0,8.5,33.49,凹底(<20%),>20%
sh600365,ST通葡,2.63,-8.32,0,24.0,21.67,低位(20-35%),>20%
sh600405,动力源,5.45,-0.55,0,26.7,40.37,低位(20-35%),>20%
sh688458,美芯晟科技,35.21,1.26,1,72.9,16.07,高位(65-85%),10-20%
sh600593,大连圣亚,36.3,-1.07,0,11.1,83.33,凹底(<20%),>20%
sh600708,光明地产,3.38,-3.76,0,19.5,39.05,凹底(<20%),>20%
sh600246,万通发展,5.5,1.99,1,11.4,122.55,凹底(<20%),>20%
sh603968,醋化股份,11.8,-6.18,0,17.7,50.42,凹底(<20%),>20%
sh688202,美迪西生物医药,66.23,-12.32,0,69.0,27.89,高位(65-85%),>20%
sz300614,百川畅银,10.85,1.2,1,55.1,19.82,中位(35-65%),10-20%
sz002702,海欣食品,4.52,-3.75,0,39.2,57.74,中位(35-65%),>20%
sz000526,学大教育,33.7,-5.37,0,28.5,27.57,低位(20-35%),>20%
sz000665,湖北广电,6.03,-3.75,0,50.4,19.57,中位(35-65%),10-20%
sz002355,兴民智通,6.84,-11.92,0,53.3,16.81,中位(35-65%),10-20%
sz002848,高斯贝尔,12.47,-5.99,0,85.0,7.3,高位(65-85%),5-10%
sz002796,世嘉科技,12.21,-3.72,0,47.0,32.51,中位(35-65%),>20%
sz000632,ST三木,3.81,5.99,1,54.2,25.98,中位(35-65%),>20%
sz300958,建工修复,12.58,-9.13,0,54.1,17.33,中位(35-65%),10-20%
sz002021,中捷资源,3.16,10.93,1,76.1,8.23,高位(65-85%),5-10%
sz000877,天山股份,3.72,-2.98,0,8.2,54.3,凹底(<20%),>20%
sz002928,华夏航空,7.98,-11.0,0,67.4,17.29,高位(65-85%),10-20%
sz002234,民和股份,6.81,4.48,1,15.0,42.58,凹底(<20%),>20%
sz002805,丰元股份,16.93,0.44,1,40.3,40.87,中位(35-65%),>20%
sz002723,小崧股份,8.44,-4.54,0,14.1,37.68,凹底(<20%),>20%
sz002272,川润股份,10.76,-2.12,0,64.4,20.35,中位(35-65%),>20%
sz001331,胜通能源,44.09,-4.21,0,39.0,54.23,中位(35-65%),>20%
sz002642,荣联科技,7.65,3.34,1,41.5,28.89,中位(35-65%),>20%
sz000639,ST西王,3.13,-2.38,0,54.3,18.85,中位(35-65%),10-20%
sz002496,辉丰股份,1.77,-1.66,0,57.8,10.73,中位(35-65%),10-20%
sz300313,天山生物,8.83,-8.46,0,45.8,33.64,中位(35-65%),>20%
sz300211,*ST亿通,8.59,2.97,1,20.6,34.11,低位(20-35%),>20%
sz300510,金冠股份,4.63,-15.35,0,50.0,13.61,中位(35-65%),10-20%
sz300343,联创股份,6.27,-0.78,0,54.1,31.74,中位(35-65%),>20%
sz002806,华锋股份,15.8,-1.35,0,74.8,9.94,高位(65-85%),5-10%
sz002164,宁波东力,5.43,-4.78,0,70.4,13.81,高位(65-85%),10-20%
sz002175,*ST东智,2.45,-12.53,0,6.8,112.24,凹底(<20%),>20%
sz002134,天津普林,21.89,-0.05,0,46.7,20.37,中位(35-65%),>20%
sz000516,国际医学,5.67,-0.75,0,64.8,15.7,中位(35-65%),10-20%
sz000558,天府文旅,3.27,1.96,1,36.5,60.24,中位(35-65%),>20%
sz002316,亚联发展,5.6,-1.46,0,49.8,20.89,中位(35-65%),>20%
sz002188,中天服务,7.24,-2.34,0,67.8,13.54,高位(65-85%),10-20%
sz300424,航新科技,17.95,-10.79,0,46.6,20.33,中位(35-65%),>20%
sz002425,凯撒文化,2.25,0.68,1,30.3,30.67,低位(20-35%),>20%
