code,name,base_date,confirm_date,ret,win,pos_pct,dist_to_high,dist_to_low,is_breakout,pos_zone,high_dist
sh603536,惠发食品,286,289,-4.58,0,113.8,-4.47,37.0,True,,已突破
sh600173,卧龙新能,350,353,-4.48,0,58.9,22.64,32.43,False,中位(35-65%),>20%
sh600624,ST复华,36,39,3.2,1,120.9,-9.11,52.58,True,,已突破
sh600226,亨通股份,256,259,3.71,1,97.8,0.96,42.55,False,过峰(>85%),0-5%
sh600265,*ST景谷,32,35,6.0,1,61.8,11.44,18.54,False,中位(35-65%),10-20%
sh688211,中科微至,113,116,-2.36,0,65.5,14.01,26.64,False,高位(65-85%),10-20%
sh688211,中科微至,333,336,2.0,1,44.6,13.47,10.87,False,中位(35-65%),10-20%
sh600107,*ST尔雅,129,132,-5.14,0,72.5,14.89,39.34,False,高位(65-85%),10-20%
sh603922,ST金鸿顺,28,31,14.01,1,108.9,-1.4,17.12,True,,已突破
sh603922,ST金鸿顺,349,352,3.82,1,47.5,19.54,17.64,False,中位(35-65%),10-20%
sh600733,北汽蓝谷,92,95,-5.25,0,38.7,33.04,20.85,False,中位(35-65%),>20%
sh688156,路德科技,185,188,-5.53,0,81.5,7.11,31.35,False,高位(65-85%),5-10%
sh603188,亚邦股份,481,484,-0.89,0,65.6,16.02,30.6,False,高位(65-85%),10-20%
sh688669,聚石化学股份,401,404,4.44,1,107.1,-3.17,47.77,True,,已突破
sh600029,南方航空,326,329,-8.34,0,98.8,0.37,30.8,False,过峰(>85%),0-5%
sh601908,京运通,18,21,2.26,1,160.5,-8.58,22.76,True,,已突破
sh600212,绿能慧充,18,21,-3.28,0,89.2,1.58,13.07,False,过峰(>85%),0-5%
sh600212,绿能慧充,389,392,-1.35,0,47.4,14.36,12.96,False,中位(35-65%),10-20%
sh600735,ST新华锦,59,62,6.46,1,100.0,0.0,13.35,True,过峰(>85%),已突破
sh600843,上工申贝,19,22,-3.74,0,119.8,-2.26,13.71,True,,已突破
sh688023,安恒信息,17,20,58.89,1,95.6,0.7,15.43,False,过峰(>85%),0-5%
sh603278,大业股份,18,21,-4.83,0,143.8,-4.75,15.59,True,,已突破
sh603598,引力传媒,283,286,-3.58,0,46.0,12.59,10.75,False,中位(35-65%),10-20%
sh688110,东芯股份,214,217,7.26,1,81.6,7.25,32.11,False,高位(65-85%),5-10%
sh600683,京投发展,345,348,21.47,1,72.4,10.83,28.44,False,高位(65-85%),10-20%
sh600481,双良节能,18,21,2.23,1,138.9,-4.99,17.81,True,,已突破
sh600753,ST海钦,249,252,-5.57,0,109.1,-3.7,44.32,True,,已突破
sh688369,致远互联,120,123,2.84,1,93.8,4.44,66.69,False,过峰(>85%),0-5%
sh603608,天创时尚,34,37,8.55,1,89.5,1.93,16.4,False,过峰(>85%),0-5%
sh601162,天风证券,20,23,-9.17,0,121.0,-9.11,52.59,True,,已突破
sh603261,立航科技,163,166,2.34,1,14.7,103.27,17.73,False,凹底(<20%),>20%
sh688185,康希诺生物,31,34,1.67,1,65.6,17.56,33.4,False,高位(65-85%),10-20%
sh601011,宝泰隆,18,21,10.12,1,136.7,-5.61,20.92,True,,已突破
sh600110,诺德股份,327,330,-2.82,0,60.7,17.37,26.79,False,中位(35-65%),10-20%
sh601068,中铝国际,18,21,7.23,1,116.7,-2.08,14.58,True,,已突破
