code,name,date,signal_type,entry_price,ret,win,pos_pct,dist_to_high
sh603536,惠发食品,289,aggro,14.08,-4.58,0,113.8,-4.47
sh600173,卧龙新能,353,strong,8.88,-4.48,0,58.9,22.64
sh688211,中科微至,336,strong,32.58,2.0,1,44.6,13.47
sh603922,ST金鸿顺,352,strong,21.14,3.82,1,47.5,19.54
sh603188,亚邦股份,484,strong,4.87,-0.89,0,65.6,16.02
sh688669,聚石化学股份,404,aggro,34.12,4.44,1,107.1,-3.17
sh600212,绿能慧充,392,strong,7.87,-1.35,0,47.4,14.36
sh603598,引力传媒,286,strong,17.31,-3.58,0,46.0,12.59
sh600683,京投发展,348,strong,5.45,21.47,1,72.4,10.83
sh600110,诺德股份,330,strong,7.54,-2.82,0,60.7,17.37
sh688051,罗克佳华科技,291,aggro,55.5,-2.6,0,102.2,-1.3
sh603226,菲林格尔,266,aggro,38.61,8.28,1,100.7,-0.6
sh600115,中国东航,277,aggro,4.94,-3.73,0,100.0,0.0
sh688390,固德威电源,343,strong,94.78,-11.37,0,89.5,6.55
sh688390,固德威电源,405,aggro,110.44,4.66,1,100.2,-0.08
sh603123,翠微股份,365,strong,14.0,-7.1,0,45.2,25.93
sh600463,空港股份,352,strong,12.18,-2.09,0,66.1,6.65
sh600463,空港股份,405,strong,10.96,-1.1,0,48.4,16.15
sh603268,松发股份,403,aggro,149.5,5.92,1,100.5,-0.33
sh600343,航天动力,394,strong,35.67,-2.95,0,59.0,42.64
sh600802,福建水泥,276,strong,5.8,21.66,1,82.6,6.03
sh600365,ST通葡,277,strong,3.34,-2.9,0,64.2,8.68
sh600601,方正科技,493,strong,14.62,2.73,1,82.7,8.48
sh688172,燕东微电子股份,304,strong,25.01,-1.26,0,47.5,31.63
sh688622,*ST禾信仪器,463,strong,109.73,-2.49,0,50.6,39.28
sh600405,动力源,292,strong,5.97,-3.78,0,44.4,28.14
sh603843,*ST正平,285,strong,3.83,26.32,1,86.3,7.31
sh603843,*ST正平,305,aggro,6.79,26.44,1,107.3,-4.71
sh605303,园林股份,428,strong,29.6,-10.66,0,71.5,18.55
sh600333,长春燃气,488,aggro,6.87,3.27,1,100.0,0.0
sh600708,光明地产,405,strong,3.84,-3.18,0,47.6,22.4
sh688079,美迪凯股份,418,aggro,24.56,7.86,1,103.2,-1.79
sh603212,赛伍技术,426,strong,15.87,2.74,1,58.8,20.04
sh600538,国发股份,493,strong,5.33,-8.98,0,35.1,39.59
sz000820,神雾节能,290,aggro,3.27,0.73,1,103.1,-0.92
sz300762,上海瀚讯,280,strong,25.67,-4.76,0,54.2,17.53
sz002214,大立科技,482,strong,15.08,3.61,1,43.6,33.55
sz300164,通源石油,361,aggro,18.08,15.82,1,121.4,-12.72
sz000526,学大教育,400,strong,35.04,-0.59,0,38.8,22.69
sz000665,湖北广电,287,strong,6.55,-3.08,0,79.9,6.72
sz002355,兴民智通,368,strong,7.52,-0.83,0,80.9,6.25
sz002848,高斯贝尔,358,strong,12.71,-9.75,0,88.9,5.27
sz301307,美利信,366,strong,39.93,0.38,1,71.1,14.9
sz300647,超频三,280,strong,6.96,-3.97,0,61.3,15.66
sz300647,超频三,471,strong,5.71,2.23,1,44.2,27.67
sz002921,联诚精密,340,aggro,22.63,-0.79,0,106.3,-2.34
sz000632,ST三木,291,aggro,6.57,6.81,1,124.2,-9.13
sz300958,建工修复,483,strong,12.74,-0.94,0,55.9,16.88
sz002309,中利集团,360,strong,3.55,-3.07,0,48.4,22.25
sz300686,智动力,389,strong,18.54,-5.09,0,83.5,5.77
sz002682,龙洲股份,294,aggro,7.13,-24.8,0,129.8,-9.12
sz300853,申昊科技,468,strong,26.36,4.48,1,37.9,54.97
sz300900,广联航空,443,strong,38.99,-2.46,0,40.8,33.37
sz002638,勤上股份,367,aggro,3.77,7.65,1,109.2,-3.18
sz300948,冠中生态,471,strong,21.3,5.47,1,38.0,51.17
sz002413,雷科防务,332,aggro,20.13,-33.09,0,113.8,-9.04
sz002554,惠博普,327,strong,3.39,-4.34,0,51.2,18.29
sz002805,丰元股份,323,strong,18.88,-4.91,0,57.2,26.32
sz002723,小崧股份,438,strong,9.36,-5.59,0,38.9,24.15
sz000926,福星股份,254,aggro,3.46,-20.46,0,103.3,-1.45
sz002272,川润股份,439,strong,23.43,1.16,1,85.6,6.53
sz300365,恒华科技,368,aggro,7.25,-4.41,0,100.0,0.0
sz001331,胜通能源,470,strong,55.47,-8.35,0,68.0,22.59
sz300635,中达安,404,strong,15.17,0.02,1,46.1,24.32
sz000782,恒申新材,397,strong,6.23,12.86,1,70.5,9.15
sz000782,恒申新材,403,aggro,7.38,10.55,1,107.7,-2.44
sz300410,正业科技,391,strong,8.83,13.4,1,49.2,14.5
sz002314,南山控股,341,strong,3.07,-2.4,0,45.7,12.38
sz002719,ST麦趣,350,strong,9.57,-2.14,0,59.6,9.4
sz000547,航天发展,309,aggro,22.0,-3.15,0,110.7,-6.5
sz300710,万隆光电,402,strong,32.79,-1.22,0,73.9,12.84
sz300313,天山生物,295,strong,9.6,-6.2,0,65.5,22.92
sz000663,永安林业,353,strong,8.08,1.0,1,41.8,33.42
sz300211,*ST亿通,340,strong,9.24,-9.33,0,51.1,24.68
sz002617,露笑科技,434,strong,9.13,-2.63,0,54.3,19.06
sz300044,*ST赛为,335,aggro,6.17,-7.58,0,102.9,-1.13
sz000909,*ST数源,340,strong,5.85,-6.91,0,46.0,12.82
sz300665,飞鹿股份,468,strong,9.58,-0.79,0,46.3,32.99
sz002157,正邦科技,368,strong,3.39,-3.16,0,49.5,15.93
sz002631,德尔未来,470,strong,8.68,4.31,1,47.0,39.29
sz002134,天津普林,278,strong,20.55,-2.75,0,35.7,28.22
sz002134,天津普林,288,strong,23.92,-0.01,0,71.0,10.16
sz002316,亚联发展,350,strong,5.63,-1.99,0,51.1,20.25
sz002188,中天服务,350,strong,7.28,-4.12,0,69.1,12.91
sz002868,绿康生化,291,aggro,35.02,26.54,1,113.8,-4.77
sz300424,航新科技,359,strong,19.73,-8.35,0,72.7,9.48
