日期,代码,名称,阶段,信号,置信度,信号依据,触发时间,信号强度,备注,信号定性,wash_level,wash_reason,need_l2,位置,量价配合,量柱形态
2024-09-26,001311,多利科技,拉升,拉升,0.6,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+0.76% 当日+4.51% → 累计+0.05%（滞涨），量22848>1.5×20日均13351 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+0.76% 当日+4.51% → 累计+0.05%（滞涨），量22848>1.5×20日均13351 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,价升量缩,缩量柱
2024-09-27,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+4.51% 当日+8.06% → 累计+0.13%（滞涨），量39796>1.5×20日均13803 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+4.51% 当日+8.06% → 累计+0.13%（滞涨），量39796>1.5×20日均13803 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,高量柱
2024-09-30,001311,多利科技,拉升,拉升,0.6,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+8.06% 当日+10.30% → 累计+0.19%（滞涨），量56221>1.5×20日均15206 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+8.06% 当日+10.30% → 累计+0.19%（滞涨），量56221>1.5×20日均15206 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,梯量柱
2024-10-08,001311,多利科技,拉升,拉升,0.6,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+10.30% 当日+7.37% → 累计+0.18%（滞涨），量63208>1.5×20日均17125 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+10.30% 当日+7.37% → 累计+0.18%（滞涨），量63208>1.5×20日均17125 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,梯量柱
2024-10-09,001311,多利科技,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-10,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-11,001311,多利科技,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,平量柱
2024-10-14,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-15,001311,多利科技,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-16,001311,多利科技,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-17,001311,多利科技,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,平量柱
2024-10-18,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-10-21,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,平量柱
2024-10-22,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-23,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,平量柱
2024-10-24,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
