信号名,持有天数,出场方式,触发次数,增量中位数%,增量均值%,增量正比例%
价升量缩,5,ATR止损,6432,-0.59,0.08,44.5
价升量缩,5,收盘出场,6432,-0.35,0.12,46.5
价升量缩,10,ATR止损,6378,-1.83,-0.21,40.2
价升量缩,10,收盘出场,6378,-0.78,-0.13,44.6
价升量缩,20,ATR止损,6214,-2.84,-0.3,34.7
价升量缩,20,收盘出场,6214,-1.45,-0.5,43.9
价跌量缩,5,ATR止损,10089,-0.72,-0.05,43.5
价跌量缩,5,收盘出场,10089,-0.47,0.02,45.1
价跌量缩,10,ATR止损,9998,-1.64,-0.16,41.0
价跌量缩,10,收盘出场,9998,-0.77,-0.08,45.1
价跌量缩,20,ATR止损,9725,-2.86,-0.22,33.9
价跌量缩,20,收盘出场,9725,-1.63,-0.51,42.7
低量柱,5,ATR止损,2087,-0.78,-0.19,42.7
低量柱,5,收盘出场,2087,-0.64,-0.15,43.6
低量柱,10,ATR止损,2070,-2.12,-0.85,37.5
低量柱,10,收盘出场,2070,-1.44,-0.99,39.5
低量柱,20,ATR止损,1935,-3.35,-1.7,30.9
低量柱,20,收盘出场,1935,-2.83,-2.56,37.5
倍量柱,5,ATR止损,1962,-0.88,0.06,43.8
倍量柱,5,收盘出场,1962,-0.45,-0.05,46.0
倍量柱,10,ATR止损,1955,-1.79,0.07,40.5
倍量柱,10,收盘出场,1955,-0.61,0.08,45.9
倍量柱,20,ATR止损,1915,-3.03,0.37,33.8
倍量柱,20,收盘出场,1915,-1.56,0.28,43.2
倍量过左峰,5,ATR止损,813,-1.09,-0.05,42.8
倍量过左峰,5,收盘出场,813,-0.48,-0.26,46.4
倍量过左峰,10,ATR止损,810,-2.11,0.07,40.0
倍量过左峰,10,收盘出场,810,-0.73,0.05,45.7
倍量过左峰,20,ATR止损,797,-3.31,0.51,33.5
倍量过左峰,20,收盘出场,797,-1.11,0.79,45.0
假阴真阳,5,ATR止损,1473,-1.14,-0.26,41.5
假阴真阳,5,收盘出场,1473,-0.82,-0.29,43.0
假阴真阳,10,ATR止损,1456,-2.64,-0.42,38.7
假阴真阳,10,收盘出场,1456,-1.57,-0.25,42.7
假阴真阳,20,ATR止损,1428,-3.85,-0.64,32.5
假阴真阳,20,收盘出场,1428,-2.72,-0.72,41.2
发烧柱,5,ATR止损,1349,-1.76,-0.31,39.3
发烧柱,5,收盘出场,1349,-1.07,-0.74,42.0
发烧柱,10,ATR止损,1345,-2.98,-0.04,35.2
发烧柱,10,收盘出场,1345,-1.35,0.14,42.4
发烧柱,20,ATR止损,1335,-3.81,0.21,30.7
发烧柱,20,收盘出场,1335,-1.61,0.8,43.1
将军柱,5,ATR止损,3877,1.26,2.69,63.2
将军柱,5,收盘出场,3877,1.36,2.72,64.1
将军柱,10,ATR止损,3869,0.56,2.61,54.1
将军柱,10,收盘出场,3869,0.88,2.6,56.5
将军柱,20,ATR止损,3764,-0.91,3.25,47.1
将军柱,20,收盘出场,3764,0.67,2.81,52.9
平量柱,5,ATR止损,5849,-0.86,-0.03,42.2
平量柱,5,收盘出场,5849,-0.57,0.02,44.0
平量柱,10,ATR止损,5820,-1.83,-0.22,39.5
平量柱,10,收盘出场,5820,-0.81,-0.1,44.1
平量柱,20,ATR止损,5665,-2.86,-0.63,33.5
平量柱,20,收盘出场,5665,-1.64,-0.91,43.3
梯量柱,5,ATR止损,14314,-0.86,-0.12,42.7
梯量柱,5,收盘出场,14314,-0.54,-0.15,44.7
梯量柱,10,ATR止损,14263,-1.93,-0.28,39.3
梯量柱,10,收盘出场,14263,-0.87,-0.19,44.5
梯量柱,20,ATR止损,13916,-2.88,-0.44,33.3
梯量柱,20,收盘出场,13916,-1.7,-0.72,42.9
百日低量,5,ATR止损,348,-0.92,-0.39,40.2
百日低量,5,收盘出场,348,-0.84,-0.39,40.8
百日低量,10,ATR止损,336,-1.94,-0.88,39.3
百日低量,10,收盘出场,336,-0.81,-0.94,42.0
百日低量,20,ATR止损,281,-2.75,-2.21,34.9
百日低量,20,收盘出场,281,-2.38,-3.7,35.6
百日低量群,5,ATR止损,4350,-0.48,0.34,45.1
百日低量群,5,收盘出场,4350,-0.27,0.3,46.9
百日低量群,10,ATR止损,4287,-0.87,0.52,44.7
百日低量群,10,收盘出场,4287,-0.04,0.68,49.7
百日低量群,20,ATR止损,4113,-1.89,0.54,40.5
百日低量群,20,收盘出场,4113,-0.47,0.46,47.5
缩量回踩,5,ATR止损,3836,-0.47,0.08,45.0
缩量回踩,5,收盘出场,3836,-0.23,0.14,47.3
缩量回踩,10,ATR止损,3784,-1.28,0.19,42.7
缩量回踩,10,收盘出场,3784,-0.4,0.22,47.1
缩量回踩,20,ATR止损,3685,-2.2,0.14,36.1
缩量回踩,20,收盘出场,3685,-0.77,-0.09,46.0
缩量柱,5,ATR止损,16521,-0.66,0.0,43.9
缩量柱,5,收盘出场,16521,-0.42,0.06,45.7
缩量柱,10,ATR止损,16376,-1.71,-0.18,40.7
缩量柱,10,收盘出场,16376,-0.78,-0.1,44.9
缩量柱,20,ATR止损,15939,-2.85,-0.25,34.2
缩量柱,20,收盘出场,15939,-1.57,-0.51,43.1
该涨不涨,5,ATR止损,7964,-0.88,-0.24,41.6
该涨不涨,5,收盘出场,7964,-0.61,-0.19,43.3
该涨不涨,10,ATR止损,7852,-1.69,-0.35,40.3
该涨不涨,10,收盘出场,7852,-0.72,-0.26,45.1
该涨不涨,20,ATR止损,7651,-2.67,-0.27,33.7
该涨不涨,20,收盘出场,7651,-1.51,-0.64,42.7
该跌不跌,5,ATR止损,3626,-0.4,0.3,46.2
该跌不跌,5,收盘出场,3626,-0.17,0.36,48.2
