signal,ret,win,pos_pct,dist_to_high,dist_to_low,dist_to_yin_top,pos_zone
价升量缩,7.46,1,57.5,8.44,11.41,-0.06,中位
缩量回踩,11.91,1,57.2,8.5,11.36,0.0,中位
价升量缩,51.24,1,78.5,5.04,18.39,-7.93,高位
价升量缩,59.96,1,95.7,0.96,21.57,-11.52,过峰
价升量缩,9.82,1,105.0,-3.09,64.51,-6.31,过峰
倍量柱,-26.84,0,114.8,-9.08,70.67,-22.57,过峰
价升量缩,1.47,1,58.4,43.95,61.59,15.01,中位
价升量缩,-6.14,0,51.0,56.12,58.34,-1.07,中位
价升量缩,5.95,1,37.4,84.88,50.67,0.03,中位
价升量缩,13.6,1,37.6,84.35,50.81,0.44,中位
价升量缩,2.76,1,42.6,72.7,53.92,-5.91,中位
倍量柱,2.11,1,46.1,65.29,55.89,-9.94,中位
高量柱,2.11,1,46.1,65.29,55.89,-9.94,中位
将军柱,2.11,1,46.1,65.29,55.89,-9.94,中位
高量柱,4.67,1,48.5,60.73,57.11,-12.43,中位
倍量柱,-3.47,0,48.8,60.15,57.26,-0.94,中位
高量柱,-3.47,0,48.8,60.15,57.26,-0.94,中位
将军柱,-3.47,0,48.8,60.15,57.26,-0.94,中位
高量柱,-8.49,0,53.4,51.96,59.45,-6.01,中位
价升量缩,-5.58,0,46.8,64.04,56.23,2.2,中位
缩量回踩,-5.3,0,46.7,64.08,56.22,2.23,中位
缩量回踩,-0.16,0,46.3,64.97,55.98,1.19,中位
价升量缩,-6.94,0,22.3,65.21,18.66,0.27,低位
倍量柱,-3.65,0,24.3,53.37,17.14,-4.42,低位
高量柱,-3.65,0,24.3,53.37,17.14,-4.42,低位
倍量柱,-2.06,0,32.8,34.46,16.8,-5.16,低位
高量柱,-2.06,0,32.8,34.46,16.8,-5.16,低位
将军柱,-2.06,0,32.8,34.46,16.8,-5.16,低位
价升量缩,0.91,1,29.6,36.65,15.45,-3.61,低位
价升量缩,-2.54,0,31.7,35.2,16.35,-4.64,低位
价升量缩,-3.8,0,32.3,34.78,16.6,-0.51,低位
价升量缩,-1.48,0,29.7,36.61,15.48,1.01,低位
缩量回踩,1.27,1,28.7,37.32,15.03,0.21,低位
价升量缩,1.3,1,29.0,37.13,15.15,0.07,低位
缩量回踩,0.59,1,30.4,36.13,15.77,-0.66,低位
价升量缩,-1.58,0,33.6,33.91,17.14,-2.28,低位
缩量回踩,-1.24,0,33.6,33.87,17.17,0.07,低位
价升量缩,-3.08,0,32.6,34.55,16.75,-0.89,低位
价升量缩,-0.56,0,34.5,33.28,17.54,-0.37,低位
价升量缩,1.06,1,35.0,32.92,17.76,-0.91,中位
价升量缩,4.84,1,42.2,23.68,17.26,0.78,中位
倍量柱,1.64,1,49.0,20.32,19.5,-1.95,中位
高量柱,1.64,1,49.0,20.32,19.5,-1.95,中位
将军柱,1.64,1,49.0,20.32,19.5,-1.95,中位
价升量缩,0.57,1,51.0,19.38,20.13,-2.72,中位
价升量缩,-4.08,0,56.4,16.85,21.82,-4.78,中位
倍量柱,-1.83,0,22.7,17.86,5.23,-3.4,低位
