ret,win,pos_pct,dist_to_high,dist_to_low,is_breakout,is_near_breakout,is_mid_high_pos
5.39,1,97.7,0.65,28.0,False,True,True
-4.96,0,57.5,23.61,31.9,False,False,True
60.0,1,105.9,-2.06,36.84,True,False,True
4.8,1,105.0,-1.97,41.28,True,False,True
2.74,1,59.1,17.06,24.68,False,False,True
2.72,1,40.1,14.74,9.87,False,False,True
1.93,1,68.4,18.37,39.77,False,False,True
15.28,1,95.6,0.58,12.65,False,True,True
6.91,1,34.4,25.66,13.43,False,False,False
4.0,1,65.2,14.3,26.74,False,False,True
25.77,1,81.3,8.57,37.17,False,False,True
-1.6,0,105.3,-1.5,29.59,True,False,True
4.63,1,28.7,21.84,8.79,False,False,False
-0.08,0,31.7,16.5,7.65,False,False,False
6.31,1,71.1,11.86,29.2,False,False,True
36.11,1,42.5,25.57,18.92,False,False,True
4.57,1,84.9,6.8,38.24,False,False,True
30.58,1,132.7,-9.09,36.91,True,False,True
17.06,1,97.5,0.84,32.96,False,True,True
2.56,1,43.3,19.84,15.14,False,False,True
6.04,1,63.0,9.18,15.65,False,False,True
2.29,1,111.3,-6.02,59.49,True,False,True
3.22,1,25.2,35.46,11.94,False,False,False
10.4,1,81.7,4.87,21.8,False,True,True
42.82,1,99.0,0.43,42.41,False,True,True
21.13,1,106.9,-5.59,86.09,True,False,True
4.33,1,21.0,80.81,21.51,False,False,False
7.96,1,18.4,33.7,7.61,False,False,False
-0.05,0,132.1,-5.65,23.22,True,False,True
-0.7,0,131.9,-12.98,53.68,True,False,True
11.45,1,87.9,6.81,49.44,False,False,True
-4.68,0,40.6,28.78,19.65,False,False,True
46.94,1,117.6,-8.24,55.17,True,False,True
3.93,1,47.3,10.74,9.63,False,False,True
6.08,1,41.4,18.75,13.25,False,False,True
0.45,1,31.6,56.97,26.32,False,False,False
7.56,1,19.1,85.1,20.13,False,False,False
6.55,1,89.4,7.26,61.47,False,False,True
4.88,1,59.9,8.67,12.94,False,False,True
-3.64,0,103.8,-1.63,45.1,True,False,True
6.7,1,54.4,49.78,59.43,False,False,True
60.06,1,42.4,15.18,11.16,False,False,True
2.36,1,83.7,6.77,34.82,False,False,True
0.65,1,83.2,7.02,34.84,False,False,True
6.41,1,71.4,8.23,20.58,False,False,True
-1.14,0,13.3,31.17,4.8,False,False,False
0.15,1,76.0,11.39,36.04,False,False,True
3.4,1,85.3,2.84,16.46,False,True,True
0.36,1,43.2,16.79,12.77,False,False,True
12.19,1,61.4,21.16,33.69,False,False,True
34.32,1,69.6,27.8,63.76,False,False,True
1.34,1,95.2,1.03,20.18,False,True,True
22.65,1,65.9,20.53,39.59,False,False,True
3.02,1,108.8,-1.98,24.58,True,False,True
-3.35,0,109.1,-3.94,47.17,True,False,True
-3.5,0,24.3,55.49,17.76,False,False,False
31.96,1,83.6,8.13,41.46,False,False,True
2.46,1,46.3,14.23,12.25,False,False,True
3.33,1,61.7,12.13,19.56,False,False,True
8.26,1,41.5,25.67,18.18,False,False,True
59.98,1,105.6,-2.18,41.23,True,False,True
6.46,1,107.9,-3.68,50.46,True,False,True
5.59,1,23.5,73.64,22.59,False,False,False
6.02,1,53.5,23.22,26.71,False,False,True
41.42,1,104.0,-1.08,28.38,True,False,True
6.61,1,72.9,12.6,33.93,False,False,True
-0.98,0,109.0,-5.53,66.93,True,False,True
32.72,1,84.1,7.72,40.71,False,False,True
13.97,1,73.3,10.96,30.14,False,False,True
1.19,1,54.0,21.02,24.63,False,False,True
2.38,1,35.5,40.35,22.16,False,False,True
2.32,1,73.4,5.49,15.14,False,False,True
0.23,1,24.6,43.56,14.22,False,False,False
66.2,1,102.7,-1.7,65.8,True,False,True
-3.68,0,28.2,30.36,11.92,False,False,False
3.53,1,69.7,11.05,25.45,False,False,True
2.0,1,11.2,55.63,7.01,False,False,False
1.76,1,18.3,39.55,8.87,False,False,False
5.33,1,56.9,26.8,35.34,False,False,True
2.82,1,59.6,22.22,32.71,False,False,True
0.34,1,39.2,30.88,19.93,False,False,True
3.32,1,84.8,6.43,35.74,False,False,True
1.01,1,53.2,26.65,30.34,False,False,True
59.83,1,104.3,-1.21,29.35,True,False,True
0.74,1,50.4,19.41,19.73,False,False,True
3.73,1,23.9,33.48,10.53,False,False,False
4.81,1,89.4,3.1,26.07,False,True,True
0.17,1,95.5,1.27,26.9,False,True,True
0.5,1,8.8,55.08,5.35,False,False,False
7.06,1,22.8,75.52,22.36,False,False,False
19.29,1,61.1,12.46,19.57,False,False,True
-0.13,0,38.2,38.06,23.51,False,False,True
4.54,1,16.5,55.05,10.89,False,False,False
13.14,1,45.8,43.25,36.58,False,False,True
21.44,1,100.9,-0.29,32.37,True,False,True
6.97,1,46.1,27.8,23.77,False,False,True
7.02,1,31.7,59.48,27.64,False,False,False
-3.49,0,115.1,-9.1,69.24,True,False,True
2.81,1,20.8,33.72,8.86,False,False,False
9.72,1,92.0,4.47,51.38,False,True,True
26.93,1,55.3,28.79,35.61,False,False,True
7.65,1,92.5,3.72,45.62,False,True,True
2.83,1,63.3,14.68,25.34,False,False,True
-1.27,0,16.1,55.15,10.56,False,False,False
-9.85,0,94.2,2.5,40.31,False,True,True
-0.56,0,68.9,17.3,38.41,False,False,True
3.37,1,78.6,10.39,38.21,False,False,True
-1.39,0,72.3,5.22,13.64,False,False,True
0.6,1,41.3,29.06,20.42,False,False,True
8.08,1,34.5,31.15,16.41,False,False,False
16.35,1,112.2,-4.72,43.4,True,False,True
0.77,1,42.6,44.33,32.86,False,False,True
2.02,1,16.3,29.89,5.84,False,False,False
2.41,1,58.0,13.52,18.7,False,False,True
9.22,1,99.0,0.29,28.17,False,True,True
12.06,1,36.5,18.8,10.81,False,False,True
-1.72,0,81.0,4.98,21.18,False,True,True
0.52,1,35.6,57.46,31.79,False,False,True
0.25,1,30.0,16.55,7.09,False,False,False
-3.93,0,19.5,60.44,14.66,False,False,False
6.34,1,40.4,14.55,9.85,False,False,True
1.01,1,69.0,12.05,26.81,False,False,True
19.48,1,109.3,-4.94,58.14,True,False,True
7.99,1,73.9,6.82,19.32,False,False,True
4.53,1,65.5,17.72,33.63,False,False,True
5.57,1,60.9,26.88,41.94,False,False,True
-0.7,0,92.4,1.61,19.52,False,True,True
12.63,1,93.6,1.93,28.43,False,True,True
1.85,1,50.2,35.41,35.74,False,False,True
1.38,1,123.1,-5.78,30.81,True,False,True
7.74,1,24.4,55.14,17.77,False,False,False
-1.28,0,30.5,18.84,8.27,False,False,False
14.0,1,107.1,-2.48,37.13,True,False,True
11.01,1,29.9,46.74,19.95,False,False,False
0.73,1,71.5,11.57,29.07,False,False,True
8.24,1,97.0,1.58,51.71,False,True,True
-0.5,0,43.0,18.37,13.86,False,False,True
